GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],129.9,108.2,91.4
NVIDIA RTX 4090 Cybertank,[4/25],105.9,89.7,75.8
NVIDIA RTX 5080 FE,[1/25],96.8,82.8,70.0
NVIDIA RTX 4080 Super FE,[1/25],88.2,75.2,63.6
ASUS RTX 5070 Ti Prime,[2/25],87.2,74.9,63.3
Sapphire RX 7900 XTX Nitro,[1/25],85.8,72.6,61.4
Yeston RX 9070 XT Atlantis,[3/25],83.3,71.1,60.1
Sapphire RX 9070 XT Pulse,[3/25],82.8,70.9,59.9
Sapphire RX 9070 Pulse,[2/25],74.8,65.0,55.0
ASUS RTX 4070 Ti TUF,[1/25],72.8,63.1,53.4
NVIDIA RTX 5070 FE,[2/25],72.1,63.1,53.4
PowerColor RX 7900 XT Hellhound,[1/25],70.7,60.8,51.4
Sapphire RX 6950 XT Nitro,[1/25],63.2,55.2,46.7
EVGA RTX 3080 FTW3 Ultra,[1/25],61.7,53.3,45.1
Sapphire RX 7900 GRE Pulse,[3/25],60.1,52.0,44.0
NVIDIA RTX 4070 FE,[12/24],59.3,52.2,44.2
PNY RTX 5060 Ti,[4/25],56.7,49.5,41.9
AMD RX 7800 XT Ref,[12/24],55.6,48.3,40.9
NVIDIA RTX 3070 Ti FE,[2/25],50.2,44.1,37.3
XFX RX 7700 XT Black,[12/24],47.3,41.0,34.7
Gigabyte RTX 5060 Eagle OC,[5/25],46.1,41.1,34.8
Colorful RTX 3070 BiliBili,[12/24],45.6,40.2,34.0
NVIDIA RTX 4060 Ti FE,[12/24],44.8,39.3,33.2
EVGA RTX 3060 Ti FTW3,[12/24],42.3,37.0,31.3
XFX RX 6700 XT MERC Black,[12/24],39.9,36.0,30.4
ASUS RTX 4060 Dual,[12/24],36.9,33.1,28.0
Intel Arc B580 Ref,[12/24],34.6,26.7,20.1
EVGA RTX 2070 Super XC Ultra,[2/25],33.6,29.7,25.1
AMD RX 7600 Ref,[12/24],31.6,28.8,24.4
EVGA RTX 3060 XC Black,[12/24],31.3,27.8,23.5
EVGA RTX 2070,[2/25],30.4,27.2,23.0
Acer Arc A770 BiFrost,[12/24],29.8,24.6,18.5
PowerColor RX 6600 XT Red Devil,[12/24],29.3,26.1,22.1
Sparkle Arc A750 Titan,[12/24],27.4,24.5,18.4
EVGA RTX 2060 KO,[12/24],25.0,22.3,18.9
XFX RX 6600 CORE,[12/24],24.8,22.8,19.3
