GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],127.1,98.1,82.9
NVIDIA RTX 5080 FE,[1/25],97.4,79.8,67.5
NVIDIA RTX 4090 Cybertank,[4/25],96.0,74.9,63.4
ASUS RTX 5070 Ti Prime,[2/25],88.4,72.9,61.7
NVIDIA RTX 4080 FE,[1/25],85.2,70.6,59.7
NVIDIA RTX 4080 Super FE,[1/25],83.9,70.1,59.3
ASUS RTX 4070 Ti Super TUF,[1/25],76.0,63.8,54.0
NVIDIA RTX 5070 FE,[2/25],72.9,61.8,52.3
ASUS RTX 4070 Ti TUF,[1/25],71.5,61.2,51.8
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],58.2,49.5,41.9
PNY RTX 5060 Ti,[4/25],53.8,45.9,38.8
Gigabyte Aorus RTX 3090 Master,[1/25],53.3,45.7,38.7
Sapphire RX 9070 Pulse XT,[2/25],53.2,42.8,36.2
EVGA RTX 3080 FTW3 Ultra,[1/25],48.9,41.7,35.3
Sapphire RX 9070 Pulse,[2/25],47.0,37.8,32.0
Gigabyte RTX 5060 Eagle OC,[5/25],45.0,39.5,33.4
NVIDIA RTX 3070 Ti FE,[2/25],40.7,34.1,28.9
Sapphire RX 7900 XTX Nitro,[1/25],36.8,20.3,17.2
EVGA RTX 2080 Ti XC Ultra,[1/25],35.1,30.5,25.8
NVIDIA RTX 2080 Super FE,[2/25],29.2,25.4,21.5
PowerColor RX 7900 XT Hellhound,[1/25],28.7,22.6,19.1
EVGA RTX 2080,[2/25],28.5,24.9,21.1
EVGA RTX 2070 Super XC Ultra,[2/25],26.0,22.7,19.2
Sapphire RX 6950 XT Nitro,[1/25],25.9,18.3,15.5
Sapphire RX 7900 GRE Pulse,[3/25],24.8,17.9,15.1
AMD RX 7800 XT Ref,[12/24],23.8,17.9,15.1
EVGA RTX 2070,[2/25],23.5,20.7,17.5
