GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[2/25],182.3,126.8,107.1
NVIDIA RTX 4090 Cybertank,[4/25],135.2,107.7,91.0
NVIDIA RTX 5080 FE,[2/25],124.7,103.0,87.0
Sapphire RX 7900 XTX Nitro,[2/25],120.1,101.8,86.0
Sapphire RX 9070 XT Pulse,[3/25],108.9,93.7,79.2
ASUS RTX 5070 Ti Prime,[2/25],107.5,88.6,74.9
NVIDIA RTX 4080 FE,[2/25],105.9,89.1,75.3
PowerColor RX 7900 XT Hellhound,[2/25],99.1,85.0,71.9
Sapphire RX 9070 Pulse,[2/25],97.9,83.6,70.7
NVIDIA RTX 5070 FE,[2/25],88.6,75.1,63.5
ASUS RTX 4070 Ti TUF,[2/25],84.7,73.4,62.1
Sapphire RX 7900 GRE Pulse,[3/25],81.8,72.6,61.4
AMD RX 7800 XT Ref,[2/25],75.5,67.4,57.0
EVGA RTX 3080 FTW3 Ultra,[2/25],73.6,65.1,55.0
PNY RTX 5060 Ti,[4/25],68.4,60.0,50.8
NVIDIA RTX 3070 Ti FE,[2/25],57.4,51.8,43.8
Gigabyte RTX 5060 Eagle OC,[5/25],54.5,48.5,41.0
Colorful RTX 3070 BiliBili,[2/25],52.9,48.1,40.7
EVGA RTX 2070 Super XC Ultra,[2/25],42.1,38.2,32.3
EVGA RTX 2070,[2/25],37.4,34.3,29.0
EVGA GTX 1070 SC,[2/25],20.6,19.1,16.1
