GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],224.3,188.9,159.1
NVIDIA RTX 4090 Cybertank,[4/25],181.5,152.1,128.3
NVIDIA RTX 5080 FE,[1/25],159.4,140.6,118.7
NVIDIA RTX 4080 Super FE,[1/25],145.5,129.3,109.1
ASUS RTX 5070 Ti Prime,[2/25],141.3,123.8,104.6
Sapphire RX 9070 XT Pulse,[3/25],129.2,114.8,96.9
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],123.4,109.5,92.5
Sapphire RX 7900 XTX Nitro,[1/25],122.4,110.5,93.4
ASUS RTX 4070 Ti TUF,[1/25],120.7,107.3,90.6
NVIDIA RTX 5070 FE,[2/25],115.6,103.3,87.3
Sapphire RX 9070 Pulse,[2/25],114.1,102.0,86.2
Gigabyte Aorus RTX 3090 Master,[1/25],106.5,92.5,78.1
PowerColor RX 7900 XT Hellhound,[1/25],103.5,92.3,78.0
EVGA RTX 3080 FTW3 Ultra,[1/25],99.5,87.1,73.6
NVIDIA RTX 4070 FE,[12/24],92.5,81.8,69.1
Sapphire RX 7900 GRE Pulse,[3/25],91.0,81.7,69.0
PNY RTX 5060 Ti,[4/25],87.2,77.5,65.5
Sapphire RX 6950 XT Nitro,[1/25],85.5,75.9,64.1
AMD RX 7800 XT Ref,[12/24],80.9,72.1,60.9
XFX RX 7700 XT Black,[12/24],73.6,66.1,55.8
Colorful RTX 3070 BiliBili,[12/24],73.1,64.7,54.7
NVIDIA RTX 4060 Ti FE,[12/24],72.9,64.9,54.8
Gigabyte RTX 5060 Eagle OC,[5/25],71.7,62.2,52.6
EVGA RTX 3060 Ti FTW3,[12/24],65.5,57.1,48.2
Intel Arc B580 Ref,[12/24],64.9,58.1,43.7
Acer Arc A770 BiFrost,[12/24],60.4,55.2,41.5
ASUS RTX 4060 Dual,[12/24],57.6,51.0,43.1
Sparkle Arc A750 Titan,[12/24],55.2,50.4,37.9
Sparkle Arc B570 Guardian,[1/25],54.9,49.1,36.9
XFX RX 6700 XT MERC Black,[12/24],50.1,43.6,36.8
EVGA RTX 3060 XC Black,[12/24],46.0,40.3,34.1
AMD RX 7600 Ref,[12/24],45.2,39.9,33.7
PowerColor RX 6600 XT Red Devil,[12/24],39.7,34.6,29.2
EVGA RTX 2060 KO,[12/24],35.0,31.0,26.2
XFX RX 6600 CORE,[12/24],33.4,29.2,24.7
